CustomerID,CustomerName,Region
C0144,Andrea Hart,North America
C0145,Wayne Stone,Asia
C0146,Brittany Harvey,Asia
C0147,Hunter Fuller,South America
C0148,Matthew Rogers,South America
C0149,Tina Wilson,Europe
C0150,Angela Williams,South America
C0151,Amber Gonzalez,South America
C0152,Justin Evans,South America
C0153,Justin Smith,South America
C0154,Robert Sharp,North America
C0155,Michelle Brown,South America
C0156,William Adams,North America
C0157,Miguel Wong,North America
C0158,Wendy Browning,South America
C0159,Austin Miller,Asia
C0160,Jodi Cook,North America
C0161,Jessica Warren,Asia
C0162,Edwin Watson,Asia
C0163,Tiffany Cain,South America
C0164,Morgan Perez,Europe
C0165,Juan Mcdaniel,South America
C0166,John Rogers,Europe
C0167,Brandy Welch,Europe
C0168,Karen Clements MD,South America
C0169,Jennifer Shaw,South America
C0170,Logan Harris,Europe
C0171,Michael Cowan,South America
C0172,Jamie Webb,Europe
C0173,Francisco Young,Asia
C0174,Tracy Steele,South America
C0175,Matthew Johnson,Asia
C0176,Nicole Booth,North America
C0177,Julia Kelly,Asia
C0178,Carol Williams,Asia
C0179,Donald Miller,Europe
C0180,Amy Carpenter,Asia
C0181,Alexander Barker,South America
C0182,Joshua Preston,Europe
C0183,Kimberly Johnson,North America
C0184,Tina Jacobs,South America
C0185,Kathleen Logan,North America
C0186,Amber Alexander,Asia
C0187,Kayla Kelly,South America
C0188,Anna Ball,South America
C0189,Sherri Dixon,North America
C0190,Alexander Lowe,South America
C0191,Samantha Gibson DVM,South America
C0192,Sarah Arias,South America
C0193,Douglas Torres,Asia
C0194,Stacy Cook,North America
C0195,Jeremy Mclaughlin,South America
C0196,Laura Watts,Europe
C0197,Christina Harvey,Europe
C0198,Rebecca Ray,Europe
C0199,Andrea Jenkins,Europe
C0200,Kelly Cross,Asia

